"fips","gini_cnty","income_cnty","black_cnty","pop_cnty","perc_bush"
5137,45.4,2.7167,0,1.192,57.932
5139,46.8,3.5732,32.9773,4.3157,59.5246
5141,42.3,3.0531,1.01761,1.6411,52.6547
5143,44.7,4.3317,3.18795,19.3353,56.0839
5145,45.4,3.8417,4.33517,7.3838,64.6401
5147,53.8,2.788,30.0638,0.7677,33.8554
5149,38.2,3.6398,1.29609,2.1912,55.4377
6001,45.4,6.8863,12.8543,145.709,24.7577
6003,45.3,5.4605,0,0.1153,45.4678
6005,39.6,5.7347,2.21089,3.8039,62.7861
6007,45.5,4.2002,1.6052,21.7917,54.8715
6009,40.6,5.7676,1.39856,4.6548,61.6697
6011,42.3,4.715,1.14756,2.1001,67.9434
6013,45.4,7.7838,9.17809,101.557,37.0841
6015,44.8,3.8408,3.43555,2.8729,57.8377
6017,42.3,7.0765,0.441057,17.5941,61.6409
6019,45.6,4.623,5.13511,89.075,58.3236
6021,43.1,4.0973,0.691979,2.7891,67.8479
6023,48,3.9124,1.07517,12.9003,40.1753
6025,46.7,3.7595,3.61361,16.0034,45.4521
6027,41.9,4.4952,0.206446,1.7438,60.1451
6029,45.3,4.6216,5.7111,78.0953,67.4849
6031,41.3,4.6595,7.74118,14.6696,65.7174
6033,43,4.1182,2.35191,6.4756,45.8184
6035,40.7,4.8653,10.1749,3.4428,72.002
6037,49.1,5.4828,8.81446,978.529,36.3705
6039,44.1,4.6083,4.07545,14.4794,64.8864
6041,49.4,8.7728,3.17335,24.6711,26.1183
6043,39.5,4.7808,0.559754,1.7865,61.6003
6045,46.3,4.3404,0.71138,8.603,34.9397
6047,44.9,4.3848,3.79219,24.2235,57.2225
6049,44.5,3.4007,1.92098,0.9162,74.0089
6051,43.9,5.197,1.03675,1.2925,50
6053,44.1,5.9693,3.3278,40.4922,39.3273
6055,46.2,6.8416,1.90357,13.2173,39.5551
6057,42.8,5.8186,0.530583,9.7063,54.7626
6059,45.4,7.3738,1.71377,297.683,60.2521
6061,42.1,7.355,1.49492,33.2059,63.0648
6063,42,4.4727,1.05109,2.055,63.0045
6065,43.8,5.8155,6.13661,203.63,58.3513
6067,42.7,5.6799,10.0623,137.56,49.4017
6069,41.3,6.8567,1.32415,5.4752,45.9175
6071,42.3,5.5461,8.86549,198.663,56.2988
6073,45.1,6.2901,5.06306,298.754,52.6673
6075,50.5,7.004,6.50343,79.7271,15.6389
6077,43.7,5.454,7.34863,66.4641,53.8433
6079,45.7,5.5555,1.94088,26.2149,53.277
